Original City,Original Country,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
hobart,au,1544410800,Hobart,AU,147.33,-42.88,19.0,42,75,5.7,1544379933,1544434884
kungurtug,ru,1544411691,Kungurtug,RU,97.53,50.6,-34.08,38,0,1.31,1544404783,1544433916
zhigansk,ru,1544411954,Zhigansk,RU,123.37,66.77,-34.93,53,36,3.91,1544408539,1544417746
umm kaddadah,sd,1544411956,Umm Kaddadah,SD,26.69,13.6,12.28,51,0,5.41,1544415940,1544456782
inuvik,ca,1544411760,Inuvik,CA,-133.71,68.36,-18.0,84,90,1.5,0,0
uyuni,bo,1544411959,Uyuni,BO,-66.82,-20.46,6.68,83,36,1.66,1544434790,1544482839
kaifeng,cn,1544410800,Kaifeng,CN,114.35,34.8,0.0,60,88,2.0,1544397532,1544433095
rovaniemi,fi,1544410200,Rovaniemi,FI,25.72,66.5,0.0,90,75,2.6,1544431538,1544441634
kundiawa,pg,1544411963,Kundiawa,PG,144.97,-6.02,17.78,99,92,0.96,1544385529,1544430406
tasiilaq,gl,1544410200,Tasiilaq,GL,-37.64,65.61,-2.0,46,8,10.8,1544445455,1544458140
ulladulla,au,1544410800,Ulladulla,AU,150.48,-35.36,25.0,61,0,5.7,1544380575,1544432724
mount gambier,au,1544407200,Mount Gambier,AU,140.78,-37.83,21.0,52,0,6.2,1544382482,1544435475
vaini,to,1544411968,Vaini,TO,-175.2,-21.2,24.73,100,0,6.96,1544460718,1544508950
georgetown,sh,1544411969,Georgetown,SH,-14.42,-7.93,24.23,100,92,7.31,1544423595,1544468871
jinxiang,cn,1544411972,Jinxiang,CN,116.31,35.07,0.98,51,76,3.36,1544397103,1544432583
saldanha,za,1544410800,Saldanha,ZA,17.94,-33.01,14.0,87,0,1.5,1544412761,1544464175
hobyo,so,1544411975,Hobyo,SO,48.53,5.35,25.33,89,8,6.36,1544409839,1544452399
tiksi,ru,1544411978,Tiksi,RU,128.87,71.64,-34.08,48,0,5.46,0,0
andros town,bs,1544410800,Andros Town,BS,-77.79,24.73,26.0,88,20,2.6,1544442294,1544480592
barinitas,ve,1544411981,Barinitas,VE,-70.41,8.76,16.63,88,0,0.96,1544438744,1544480602
longyearbyen,sj,1544410200,Longyearbyen,SJ,15.64,78.22,-8.0,61,75,6.2,0,0
rikitea,pf,1544411983,Rikitea,PF,-134.97,-23.12,25.83,99,68,6.81,1544450826,1544499527
sao filipe,cv,1544411984,Sao Filipe,CV,-24.5,14.9,24.18,96,0,4.66,1544428370,1544468931
homer,us,1544410380,Homer,US,-151.54,59.64,1.1,66,90,5.1,1544468060,1544490228
waycross,us,1544409420,Waycross,US,-82.35,31.21,7.0,90,90,3.6,1544444239,1544480836
kathmandu,np,1544410200,Kathmandu,NP,85.32,27.71,9.0,87,20,1.0,1544403506,1544441062
tautira,pf,1544410800,Tautira,PF,-149.15,-17.73,28.0,78,90,5.7,1544454872,1544502287
tuktoyaktuk,ca,1544407200,Tuktoyaktuk,CA,-133.03,69.44,-14.0,77,90,7.2,0,0
punta arenas,cl,1544410800,Punta Arenas,CL,-70.91,-53.16,12.0,66,90,4.6,1544429492,1544490124
atuona,pf,1544411994,Atuona,PF,-139.03,-9.8,26.88,100,76,7.31,1544453313,1544498985
solnechnyy,ru,1544411996,Solnechnyy,RU,136.64,50.72,-21.85,61,24,1.96,1544395423,1544424497
kudahuvadhoo,mv,1544411997,Kudahuvadhoo,MV,72.89,2.67,28.8,98,92,3.61,1544403718,1544446824
arman,ru,1544411998,Arman,RU,150.17,59.7,-14.95,57,0,5.81,1544395609,1544417811
arraial do cabo,br,1544411999,Arraial do Cabo,BR,-42.02,-22.97,21.9,94,0,5.86,1544428532,1544477190
faanui,pf,1544412001,Faanui,PF,-151.75,-16.48,28.83,98,56,7.06,1544455639,1544502769
chokurdakh,ru,1544412002,Chokurdakh,RU,147.9,70.62,-34.68,51,32,4.01,0,0
kyaikkami,mm,1544412003,Kyaikkami,MM,97.57,16.08,28.75,69,8,1.71,1544399190,1544439498
oriximina,br,1544412004,Oriximina,BR,-55.87,-1.77,23.75,98,24,1.01,1544434179,1544478188
kapaa,us,1544410560,Kapaa,US,-159.32,22.08,25.0,73,90,11.3,1544461550,1544500484
chuy,uy,1544412010,Chuy,UY,-53.46,-33.69,20.13,73,88,6.11,1544429793,1544481426
fortuna,us,1544410500,Fortuna,US,-124.16,40.6,11.7,100,90,1.5,1544455775,1544489373
karratha,au,1544412012,Karratha,AU,116.85,-20.74,39.88,29,0,3.76,1544390667,1544438773
oranjestad,aw,1544410800,Oranjestad,AW,-70.03,12.52,26.0,69,20,10.3,1544439047,1544480116
esperance,au,1544410800,Esperance,AU,121.89,-33.86,33.0,31,0,6.2,1544387678,1544439347
cururupu,br,1544412015,Cururupu,BR,-44.87,-1.82,24.83,94,44,1.56,1544431533,1544475552
east london,za,1544410800,East London,ZA,27.91,-33.02,15.0,82,20,2.6,1544410366,1544461783
hirara,jp,1544410800,Hirara,JP,125.28,24.8,22.0,94,75,10.8,1544393544,1544431838
trairi,br,1544412019,Trairi,BR,-39.27,-3.28,25.9,100,48,4.86,1544430040,1544474357
nazilli,tr,1544412021,Nazilli,TR,28.32,37.91,5.48,100,92,0.91,1544418688,1544453246
butaritari,ki,1544412023,Butaritari,KI,172.79,3.07,29.18,100,56,4.71,1544379775,1544422800
labytnangi,ru,1544412024,Labytnangi,RU,66.39,66.66,-14.13,72,48,2.66,1544422040,1544431604
vila do maio,cv,1544410800,Vila do Maio,CV,-23.22,15.13,23.0,78,0,5.1,1544428088,1544468598
tsabong,bw,1544412026,Tsabong,BW,22.4,-26.02,14.65,24,0,3.91,1544412680,1544462112
cap malheureux,mu,1544410800,Cap Malheureux,MU,57.61,-19.98,24.0,94,75,2.1,1544404978,1544452906
cabo san lucas,mx,1544409720,Cabo San Lucas,MX,-109.91,22.89,20.0,72,5,0.31,1544449783,1544488526
geraldton,au,1544410800,Geraldton,AU,114.6,-28.77,22.0,73,90,7.2,1544390178,1544440345
husavik,is,1544412031,Husavik,IS,-17.34,66.04,-14.0,100,0,2.96,1544441166,1544452682
bubaque,gw,1544412032,Bubaque,GW,-15.83,11.28,26.65,100,0,4.01,1544425903,1544467236
bluff,nz,1544412034,Bluff,NZ,168.33,-46.6,11.8,100,0,5.16,1544374038,1544430699
mayor pablo lagerenza,py,1544412035,Mayor Pablo Lagerenza,PY,-60.77,-19.93,27.08,75,36,1.66,1544433401,1544481324
khorramabad,ir,1544410200,Khorramabad,IR,48.35,33.48,2.0,93,0,1.0,1544413182,1544449136
bosaso,so,1544412038,Bosaso,SO,49.18,11.28,23.83,100,36,1.46,1544410295,1544451629
luderitz,na,1544412039,Luderitz,NA,15.16,-26.65,14.98,77,0,8.96,1544414335,1544463934
camacha,pt,1544409000,Camacha,PT,-16.33,33.08,17.0,77,75,2.6,1544428654,1544464720
dingle,ie,1544412043,Dingle,IE,-10.27,52.14,9.33,98,48,4.11,1544431125,1544459334
chapais,ca,1544409000,Chapais,CA,-74.86,49.78,-11.0,85,90,2.6,1544445961,1544475513
chimbote,pe,1544412047,Chimbote,PE,-78.59,-9.08,17.68,100,8,2.96,1544438879,1544484398
hay river,ca,1544410800,Hay River,CA,-115.79,60.82,-3.0,79,20,5.1,1544460140,1544480982
fort nelson,ca,1544407200,Fort Nelson,CA,-122.69,58.81,-14.0,84,75,1.5,1544460703,1544483733
pisco,pe,1544410800,Pisco,PE,-76.2,-13.71,19.0,88,0,2.1,1544437810,1544484321
hermanus,za,1544412052,Hermanus,ZA,19.24,-34.42,7.28,96,0,1.36,1544412228,1544464085
kaitangata,nz,1544412054,Kaitangata,NZ,169.85,-46.28,12.58,83,48,4.81,1544373752,1544430254
tucupita,ve,1544412055,Tucupita,VE,-62.05,9.06,25.08,75,20,2.51,1544436768,1544478563
ilulissat,gl,1544410200,Ilulissat,GL,-51.1,69.22,-13.0,50,0,6.7,0,0
mitu,co,1544412058,Mitu,CO,-70.17,1.2,24.28,91,64,1.16,1544437914,1544481318
havelock,us,1544410680,Havelock,US,-76.9,34.88,10.6,96,90,8.2,1544443468,1544478988
san cristobal,ec,1544412061,San Cristobal,EC,-79.44,-1.02,16.55,92,68,0.31,1544439914,1544483770
ramos arizpe,mx,1544409600,Ramos Arizpe,MX,-100.95,25.54,9.0,81,5,1.11,1544447955,1544486051
severo-kurilsk,ru,1544412063,Severo-Kurilsk,RU,156.12,50.68,-1.5,100,64,6.61,1544390734,1544419834
rawson,ar,1544412047,Rawson,AR,-65.11,-43.3,20.3,35,0,3.41,1544430829,1544485991
russell,nz,1544412066,Russell,NZ,174.12,-35.26,24.8,42,24,6.56,1544374917,1544427031
taltal,cl,1544412067,Taltal,CL,-70.49,-25.41,14.03,87,0,0.96,1544435057,1544484336
port alfred,za,1544412068,Port Alfred,ZA,26.89,-33.59,16.73,100,12,2.41,1544410523,1544462117
churapcha,ru,1544412070,Churapcha,RU,132.43,62.0,-35.1,52,36,1.66,1544401259,1544420678
chicama,pe,1544410800,Chicama,PE,-79.15,-7.84,20.0,88,40,3.1,1544439144,1544484402
gebog,id,1544412073,Gebog,ID,110.84,-6.74,29.0,97,32,1.51,1544393648,1544438674
barrow,us,1544410500,Barrow,US,-90.4,39.51,-3.3,93,1,3.56,1544447472,1544481466
bundaberg,au,1544410800,Bundaberg,AU,152.35,-24.87,29.0,48,88,7.7,1544381636,1544430760
uglovskoye,ru,1544412076,Uglovskoye,RU,80.19,51.36,-26.25,45,0,1.31,1544409165,1544437860
tuatapere,nz,1544412077,Tuatapere,NZ,167.69,-46.13,14.75,85,32,3.06,1544374307,1544430736
praia,cv,1544410800,Praia,CV,-23.51,14.92,23.0,78,0,5.1,1544428135,1544468691
bambous virieux,mu,1544410800,Bambous Virieux,MU,57.76,-20.34,24.0,94,75,2.1,1544404899,1544452913
vilhena,br,1544412083,Vilhena,BR,-60.15,-12.74,23.38,89,24,0.96,1544434062,1544480362
kavaratti,in,1544412084,Kavaratti,IN,72.64,10.57,29.43,98,0,3.91,1544404588,1544446072
verkhnevilyuysk,ru,1544412085,Verkhnevilyuysk,RU,120.31,63.45,-30.45,68,36,2.51,1544405269,1544422487
provideniya,ru,1544410800,Provideniya,RU,-173.23,64.42,-12.0,60,44,8.0,1544476700,1544492000
mount isa,au,1544410800,Mount Isa,AU,139.49,-20.73,37.0,23,0,6.7,1544385234,1544433336
key largo,us,1544410560,Key Largo,US,-80.45,25.09,22.2,90,75,3.1,1544442977,1544481186
nisia floresta,br,1544410800,Nisia Floresta,BR,-35.21,-6.09,27.0,78,40,2.1,1544428777,1544473671
nantucket,us,1544410560,Nantucket,US,-70.1,41.28,1.7,71,1,6.16,1544442919,1544476271
lebu,cl,1544412092,Lebu,CL,-73.65,-37.62,14.38,100,80,3.91,1544433986,1544486930
srednekolymsk,ru,1544412094,Srednekolymsk,RU,153.71,67.46,-33.28,44,64,1.31,1544402879,1544408837
thompson,ca,1544407200,Thompson,CA,-97.86,55.74,-17.0,84,5,1.0,1544453399,1544479116
pangnirtung,ca,1544412097,Pangnirtung,CA,-65.72,66.15,-30.08,97,0,1.51,1544452963,1544464115
monrovia,lr,1544410800,Monrovia,LR,-10.8,6.33,25.0,100,75,3.31,1544424183,1544466542
lac du bonnet,ca,1544412100,Lac du Bonnet,CA,-96.06,50.25,-17.78,63,0,1.96,1544451180,1544480472
oleksandrivka,ua,1544412102,Oleksandrivka,UA,32.24,48.97,-1.83,96,56,1.51,1544420025,1544450024
nongan,cn,1544410800,Nongan,CN,125.17,44.43,-10.0,33,0,2.0,1544396651,1544428779
brownsville,us,1544410380,Brownsville,US,-97.49,25.91,11.1,82,1,2.6,1544447171,1544485174
mar del plata,ar,1544411807,Mar del Plata,AR,-67.52,-46.43,19.65,46,0,8.96,1544430682,1544487298
la rioja,ar,1544411885,La Rioja,AR,-66.86,-29.41,22.83,54,0,1.71,1544433646,1544484006
comodoro rivadavia,ar,1544410800,Comodoro Rivadavia,AR,-67.48,-45.87,21.0,37,0,6.7,1544430809,1544487150
kruisfontein,za,1544412110,Kruisfontein,ZA,24.73,-34.0,14.83,92,0,3.56,1544410977,1544462700
richards bay,za,1544412111,Richards Bay,ZA,32.06,-28.77,18.58,100,92,6.91,1544409991,1544460164
magadan,ru,1544412112,Magadan,RU,150.8,59.56,-11.18,100,8,7.46,1544395384,1544417734
paamiut,gl,1544412113,Paamiut,GL,-49.67,61.99,-1.83,100,12,4.81,1544445007,1544464367
te anau,nz,1544412116,Te Anau,NZ,167.72,-45.41,18.05,55,56,0.86,1544374473,1544430556
derzhavinsk,kz,1544412117,Derzhavinsk,KZ,66.31,51.1,-25.73,64,0,1.31,1544412423,1544441266
duluth,us,1544411700,Duluth,US,-92.13,46.77,-6.4,89,1,2.6,1544449355,1544480412
gore,et,1544412120,Gore,ET,35.53,8.15,15.78,93,92,1.46,1544413247,1544455232
mbandaka,cd,1544412121,Mbandaka,CD,18.26,0.05,21.93,100,20,1.51,1544416568,1544460205
lorengau,pg,1544412123,Lorengau,PG,147.27,-2.02,29.55,98,56,3.76,1544385385,1544429444
kununurra,au,1544410800,Kununurra,AU,128.74,-15.77,39.0,37,8,2.6,1544388385,1544435344
manicore,br,1544412125,Manicore,BR,-61.3,-5.81,22.93,97,20,0.91,1544435069,1544479906
kendari,id,1544412126,Kendari,ID,122.52,-3.99,29.93,88,44,1.51,1544391127,1544435587
fairbanks,us,1544410680,Fairbanks,US,-147.72,64.84,-13.9,85,1,1.51,1544471006,1544485445
curup,id,1544412131,Curup,ID,102.53,-3.47,25.33,86,64,0.91,1544395979,1544440333
pacific grove,us,1544410500,Pacific Grove,US,-121.92,36.62,11.7,86,1,2.1,1544454553,1544489520
marsa matruh,eg,1544407200,Marsa Matruh,EG,27.25,31.35,14.0,82,0,5.7,1544417941,1544454508
atar,mr,1544412135,Atar,MR,-13.05,20.52,11.53,47,0,3.01,1544426248,1544465554
gijon,es,1544410800,Gijon,ES,-5.66,43.54,7.0,100,20,1.5,1544427885,1544460363
bar harbor,us,1544406960,Bar Harbor,US,-68.2,44.39,-2.2,65,75,2.6,1544443080,1544475197
beringovskiy,ru,1544412139,Beringovskiy,RU,179.32,63.05,-16.38,100,12,11.51,1544390763,1544408659
hambantota,lk,1544412140,Hambantota,LK,81.12,6.12,25.48,100,92,2.26,1544402093,1544444496
hashimoto,jp,1544410800,Hashimoto,JP,135.62,34.32,8.0,67,75,0.5,1544392352,1544428063
yulara,au,1544410800,Yulara,AU,130.99,-25.24,35.0,21,0,8.2,1544386716,1544435937
mugur-aksy,ru,1544412143,Mugur-Aksy,RU,90.44,50.38,-35.5,42,0,1.01,1544406424,1544435679
yellowknife,ca,1544407200,Yellowknife,CA,-114.38,62.45,-6.0,100,75,8.2,1544460882,1544479562
kiama,au,1544410800,Kiama,AU,150.86,-34.67,25.0,61,0,5.7,1544380596,1544432520
sosnogorsk,ru,1544412148,Sosnogorsk,RU,53.93,63.59,-6.33,85,88,1.96,1544421340,1544438289
sorong,id,1544412149,Sorong,ID,131.25,-0.86,29.08,100,8,1.56,1544389349,1544433172
uray,ru,1544412150,Uray,RU,64.8,60.13,-13.08,81,36,1.16,1544416354,1544438057
north bend,us,1544410560,North Bend,US,-124.22,43.41,9.4,96,90,2.1,1544456331,1544488845
gopalganj,in,1544412154,Gopalganj,IN,84.44,26.46,15.63,71,0,0.26,1544403557,1544441434
aviles,es,1544410800,Aviles,ES,-5.92,43.55,7.0,100,24,1.5,1544427950,1544460423
amanganj,in,1544412156,Amanganj,IN,80.04,24.43,13.78,72,48,1.31,1544404361,1544442743
kirakira,sb,1544412157,Kirakira,SB,161.92,-10.46,29.48,100,44,1.16,1544380996,1544426801
riyadh,sa,1544410800,Riyadh,SA,46.72,24.63,16.0,63,0,2.1,1544412386,1544450717
clyde river,ca,1544410800,Clyde River,CA,-68.59,70.47,-26.0,83,1,1.0,0,0
merauke,id,1544412161,Merauke,ID,140.4,-8.49,30.13,92,20,4.76,1544386370,1544431760
valday,ru,1544412162,Valday,RU,33.25,57.98,-2.7,95,92,3.06,1544422847,1544446714
broome,au,1544410800,Broome,AU,122.23,-17.97,38.0,39,0,4.6,1544389699,1544437157
cidreira,br,1544412164,Cidreira,BR,-50.22,-30.17,20.05,80,36,4.11,1544429543,1544480119
conceicao do araguaia,br,1544412165,Conceicao do Araguaia,BR,-49.26,-8.26,22.98,96,92,2.11,1544431924,1544477270
aksarka,ru,1544412167,Aksarka,RU,67.8,66.56,-12.2,82,56,4.36,1544421522,1544431446
kyshtovka,ru,1544412168,Kyshtovka,RU,76.62,56.56,-23.6,54,0,1.31,1544411814,1544436923
christchurch,nz,1544410800,Christchurch,NZ,172.64,-43.53,15.0,77,0,4.6,1544373718,1544428946
general roca,ar,1544410800,General Roca,AR,-67.58,-39.03,20.0,40,0,4.1,1544432275,1544485728
vallenar,cl,1544412172,Vallenar,CL,-70.76,-28.58,13.23,65,0,1.11,1544434698,1544484826
shache,cn,1544412173,Shache,CN,77.24,38.42,-10.83,81,36,1.31,1544407027,1544441418
banda aceh,id,1544412174,Banda Aceh,ID,95.32,5.56,26.63,99,8,1.36,1544398627,1544441144
srandakan,id,1544412176,Srandakan,ID,110.25,-7.94,27.43,94,92,1.86,1544393665,1544438941
jumla,np,1544412178,Jumla,NP,82.18,29.28,-8.08,82,0,0.91,1544404468,1544441608
isangel,vu,1544412179,Isangel,VU,169.27,-19.55,26.0,100,36,6.81,1544378224,1544426046
khatanga,ru,1544412180,Khatanga,RU,102.47,71.98,-20.45,82,68,4.81,0,0
tilichiki,ru,1544412181,Tilichiki,RU,166.1,60.47,-30.2,64,36,1.61,1544392209,1544413562
sitges,es,1544410800,Sitges,ES,1.82,41.24,11.0,66,0,4.1,1544425641,1544459017
kunming,cn,1544410800,Kunming,CN,102.71,25.04,13.0,54,40,8.0,1544398993,1544437226
torbay,ca,1544407200,Torbay,CA,-52.73,47.66,-4.0,79,75,12.3,1544440104,1544470744
ningxiang,cn,1544410800,Ningxiang,CN,112.55,28.28,3.0,93,90,4.0,1544397043,1544434451
whitehorse,ca,1544407200,Whitehorse,CA,-135.06,60.72,1.0,80,90,6.2,1544464710,1544485665
weston,us,1544410560,Weston,US,-71.3,42.37,0.0,62,12,5.7,1544443416,1544476351
saint-augustin,ca,1544410800,Saint-Augustin,CA,-73.98,45.63,-1.0,86,90,2.1,1544444737,1544476316
mikhaylovka,kz,1544410800,Mikhaylovka,KZ,69.46,54.89,-23.0,83,0,4.0,1544412891,1544439285
cherskiy,ru,1544412195,Cherskiy,RU,161.3,68.75,-27.73,78,64,2.31,0,0
hithadhoo,mv,1544412196,Hithadhoo,MV,73.08,-0.6,28.33,100,80,5.56,1544403341,1544447110
panubigan,ph,1544410800,Panubigan,PH,122.25,7.13,32.0,62,20,5.7,1544392322,1544434519
saskylakh,ru,1544412199,Saskylakh,RU,114.09,71.97,-29.25,60,44,2.96,0,0
qaanaaq,gl,1544412201,Qaanaaq,GL,-69.36,77.48,-18.68,100,64,9.21,0,0
aykhal,ru,1544412202,Aykhal,RU,111.51,65.95,-28.58,80,68,1.71,1544410054,1544421926
orcopampa,pe,1544412203,Orcopampa,PE,-72.34,-15.27,2.43,89,68,1.16,1544436711,1544483567
port blair,in,1544412204,Port Blair,IN,92.75,11.67,27.38,100,24,5.21,1544399875,1544441129
nyagan,ru,1544412205,Nyagan,RU,65.43,62.14,-10.53,84,36,2.41,1544417455,1544436652
vila franca do campo,pt,1544409000,Vila Franca do Campo,PT,-25.43,37.72,18.0,88,75,7.2,1544431564,1544466179
salvador,br,1544410800,Salvador,BR,-38.48,-12.98,28.0,78,40,3.1,1544428834,1544475185
magomeni,tz,1544407200,Magomeni,TZ,39.25,-6.8,26.0,100,20,2.76,1544410828,1544455868
petropavlovsk-kamchatskiy,ru,1544410800,Petropavlovsk-Kamchatskiy,RU,158.65,53.05,-10.0,51,68,3.0,1544390839,1544418513
anadyr,ru,1544410800,Anadyr,RU,177.51,64.73,-28.0,75,0,1.0,1544392715,1544407575
antsohihy,mg,1544412212,Antsohihy,MG,47.99,-14.88,23.58,94,56,2.31,1544407869,1544454633
okitipupa,ng,1544412213,Okitipupa,NG,4.78,6.5,22.9,95,56,1.11,1544420460,1544462784
kindu,cd,1544412215,Kindu,CD,25.92,-2.95,20.13,100,88,1.01,1544414424,1544458672
key west,us,1544411700,Key West,US,-96.78,47.93,-4.2,85,1,3.1,1544450749,1544481250
minas,uy,1544410800,Minas,UY,-55.24,-34.38,20.0,82,75,5.1,1544430111,1544481963
sarkand,kz,1544412218,Sarkand,KZ,79.91,45.41,-9.93,58,12,1.01,1544407731,1544439431
altamira,br,1544412005,Altamira,BR,-52.21,-3.2,23.88,96,76,1.11,1544433155,1544477455
nakhon thai,th,1544410800,Nakhon Thai,TH,100.84,17.1,28.0,65,75,3.6,1544398517,1544438601
seoul,kr,1544410800,Seoul,KR,126.98,37.57,0.1,64,0,1.0,1544394940,1544429623
dudinka,ru,1544412225,Dudinka,RU,86.18,69.41,-14.5,82,80,7.31,0,0
mumford,gh,1544412226,Mumford,GH,-0.76,5.26,25.25,93,24,2.26,1544421663,1544464241
chifeng,cn,1544412227,Chifeng,CN,118.96,42.27,-10.08,37,0,1.71,1544397706,1544430706
sibolga,id,1544412228,Sibolga,ID,98.78,1.74,25.15,93,32,0.81,1544397408,1544440703
